Date_ID,Year,Month,Quarter,Day_Name,Week_Number,Is_Weekend,Financial_Year
2023-01-01,2023,1,1,Sunday,52,True,FY23
2023-01-02,2023,1,1,Monday,1,False,FY23
2023-01-03,2023,1,1,Tuesday,1,False,FY23
2023-01-04,2023,1,1,Wednesday,1,False,FY23
2023-01-05,2023,1,1,Thursday,1,False,FY23
2023-01-06,2023,1,1,Friday,1,False,FY23
2023-01-07,2023,1,1,Saturday,1,True,FY23
2023-01-08,2023,1,1,Sunday,1,True,FY23
2023-01-09,2023,1,1,Monday,2,False,FY23
2023-01-10,2023,1,1,Tuesday,2,False,FY23
2023-01-11,2023,1,1,Wednesday,2,False,FY23
2023-01-12,2023,1,1,Thursday,2,False,FY23
2023-01-13,2023,1,1,Friday,2,False,FY23
2023-01-14,2023,1,1,Saturday,2,True,FY23
2023-01-15,2023,1,1,Sunday,2,True,FY23
2023-01-16,2023,1,1,Monday,3,False,FY23
2023-01-17,2023,1,1,Tuesday,3,False,FY23
2023-01-18,2023,1,1,Wednesday,3,False,FY23
2023-01-19,2023,1,1,Thursday,3,False,FY23
2023-01-20,2023,1,1,Friday,3,False,FY23
2023-01-21,2023,1,1,Saturday,3,True,FY23
2023-01-22,2023,1,1,Sunday,3,True,FY23
2023-01-23,2023,1,1,Monday,4,False,FY23
2023-01-24,2023,1,1,Tuesday,4,False,FY23
2023-01-25,2023,1,1,Wednesday,4,False,FY23
2023-01-26,2023,1,1,Thursday,4,False,FY23
2023-01-27,2023,1,1,Friday,4,False,FY23
2023-01-28,2023,1,1,Saturday,4,True,FY23
2023-01-29,2023,1,1,Sunday,4,True,FY23
2023-01-30,2023,1,1,Monday,5,False,FY23
2023-01-31,2023,1,1,Tuesday,5,False,FY23
2023-02-01,2023,2,1,Wednesday,5,False,FY23
2023-02-02,2023,2,1,Thursday,5,False,FY23
2023-02-03,2023,2,1,Friday,5,False,FY23
2023-02-04,2023,2,1,Saturday,5,True,FY23
2023-02-05,2023,2,1,Sunday,5,True,FY23
2023-02-06,2023,2,1,Monday,6,False,FY23
2023-02-07,2023,2,1,Tuesday,6,False,FY23
2023-02-08,2023,2,1,Wednesday,6,False,FY23
2023-02-09,2023,2,1,Thursday,6,False,FY23
2023-02-10,2023,2,1,Friday,6,False,FY23
2023-02-11,2023,2,1,Saturday,6,True,FY23
2023-02-12,2023,2,1,Sunday,6,True,FY23
2023-02-13,2023,2,1,Monday,7,False,FY23
2023-02-14,2023,2,1,Tuesday,7,False,FY23
2023-02-15,2023,2,1,Wednesday,7,False,FY23
2023-02-16,2023,2,1,Thursday,7,False,FY23
2023-02-17,2023,2,1,Friday,7,False,FY23
2023-02-18,2023,2,1,Saturday,7,True,FY23
2023-02-19,2023,2,1,Sunday,7,True,FY23
2023-02-20,2023,2,1,Monday,8,False,FY23
2023-02-21,2023,2,1,Tuesday,8,False,FY23
2023-02-22,2023,2,1,Wednesday,8,False,FY23
2023-02-23,2023,2,1,Thursday,8,False,FY23
2023-02-24,2023,2,1,Friday,8,False,FY23
2023-02-25,2023,2,1,Saturday,8,True,FY23
2023-02-26,2023,2,1,Sunday,8,True,FY23
2023-02-27,2023,2,1,Monday,9,False,FY23
2023-02-28,2023,2,1,Tuesday,9,False,FY23
2023-03-01,2023,3,1,Wednesday,9,False,FY23
